,Airport_ID,Name,lat,lon,country,continent,IATA,ICAO,Altitude,cluster_coefficient,degree
0,1,Goroka Airport,-6.0816898345900015,145.391998291,Papua New Guinea,Oceania,GKA,AYGA,5282,1.0,10.0
1,2,Madang Airport,-5.20707988739,145.789001465,Papua New Guinea,Oceania,MAG,AYMD,20,0.5714285714285714,16.0
2,3,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,Papua New Guinea,Oceania,HGU,AYMH,5388,0.3888888888888889,22.0
3,4,Nadzab Airport,-6.569803,146.725977,Papua New Guinea,Oceania,LAE,AYNZ,239,0.3888888888888889,22.0
4,5,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,Papua New Guinea,Oceania,POM,AYPY,146,0.125,95.0
5,6,Wewak International Airport,-3.5838301181800003,143.66900634799998,Papua New Guinea,Oceania,WWK,AYWK,19,0.8333333333333334,12.0
6,7,Narsarsuaq Airport,61.1604995728,-45.4259986877,Greenland,North America,UAK,BGBW,112,0.3,10.0
7,8,Godthaab / Nuuk Airport,64.19090271,-51.678100585900005,Greenland,North America,GOH,BGGH,283,0.17857142857142858,16.0
8,9,Kangerlussuaq Airport,67.0122218992,-50.7116031647,Greenland,North America,SFJ,BGSF,165,0.2857142857142857,14.0
9,10,Thule Air Base,76.5311965942,-68.70320129390001,Greenland,North America,THU,BGTL,251,0.0,2.0
10,11,Akureyri Airport,65.66000366210939,-18.07270050048828,Iceland,Europe,AEY,BIAR,6,0.0,2.0
11,12,Egilsstaðir Airport,65.28330230712889,-14.401399612426758,Iceland,Europe,EGS,BIEG,76,0.0,2.0
12,13,Hornafjörður Airport,64.295601,-15.2272,Iceland,Europe,HFN,BIHN,24,,
13,14,Húsavík Airport,65.952301,-17.426001,Iceland,Europe,HZK,BIHU,48,,
14,15,Ísafjörður Airport,66.05809783935547,-23.13529968261719,Iceland,Europe,IFJ,BIIS,8,0.0,2.0
15,16,Keflavik International Airport,63.985000610352,-22.605600357055998,Iceland,Europe,KEF,BIKF,171,0.4866310160427808,91.0
16,17,Patreksfjörður Airport,65.555801,-23.965,Iceland,Europe,PFJ,BIPA,11,,
17,18,Reykjavik Airport,64.1299972534,-21.9405994415,Iceland,Europe,RKV,BIRK,48,0.0,8.0
18,19,Siglufjörður Airport,66.133301,-18.9167,Iceland,Europe,SIJ,BISI,10,,
19,20,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,Iceland,Europe,VEY,BIVM,326,,
20,21,Sault Ste Marie Airport,46.48500061035156,-84.5093994140625,Canada,North America,YAM,CYAM,630,0.8333333333333334,8.0
21,22,Winnipeg / St. Andrews Airport,50.0564002991,-97.0325012207,Canada,North America,YAV,CYAV,760,,
22,23,Halifax / CFB Shearwater Heliport,44.639701843299996,-63.4994010925,Canada,North America,YAW,CYAW,144,,
23,24,St. Anthony Airport,51.391899108900006,-56.083099365200006,Canada,North America,YAY,CYAY,108,0.6666666666666666,6.0
24,25,Tofino / Long Beach Airport,49.079833,-125.77558300000001,Canada,North America,YAZ,CYAZ,80,,
25,26,Kugaaruk Airport,68.534401,-89.808098,Canada,North America,YBB,CYBB,56,,
26,27,Baie Comeau Airport,49.13249969482422,-68.20439910888672,Canada,North America,YBC,CYBC,71,1.0,12.0
27,28,CFB Bagotville,48.33060073852539,-70.99639892578125,Canada,North America,YBG,CYBG,522,0.8,8.0
28,29,Baker Lake Airport,64.29889678960001,-96.077796936,Canada,North America,YBK,CYBK,59,0.5,12.0
29,30,Campbell River Airport,49.95080184936523,-125.27100372314452,Canada,North America,YBL,CYBL,346,0.3333333333333333,12.0
30,31,Brandon Municipal Airport,49.91,-99.951897,Canada,North America,YBR,CYBR,1343,0.0,2.0
31,32,Cambridge Bay Airport,69.1081008911,-105.13800048799999,Canada,North America,YCB,CYCB,90,0.6666666666666666,12.0
32,33,Nanaimo Airport,49.054970224899996,-123.869862556,Canada,North America,YCD,CYCD,92,1.0,4.0
33,34,Castlegar/West Kootenay Regional Airport,49.296398162799996,-117.63200378399999,Canada,North America,YCG,CYCG,1624,1.0,4.0
34,35,Miramichi Airport,47.007801,-65.449203,Canada,North America,YCH,CYCH,108,,
35,36,Charlo Airport,47.990798999999996,-66.330299,Canada,North America,YCL,CYCL,132,0.0,4.0
36,37,Kugluktuk Airport,67.81670379639999,-115.14399719200001,Canada,North America,YCO,CYCO,74,0.3333333333333333,10.0
37,38,Coronation Airport,52.0750007629,-111.444999695,Canada,North America,YCT,CYCT,2595,,
38,39,Chilliwack Airport,49.1528015137,-121.93900299100001,Canada,North America,YCW,CYCW,32,,
39,40,Clyde River Airport,70.4860992432,-68.5167007446,Canada,North America,YCY,CYCY,87,0.0,8.0
40,41,Coral Harbour Airport,64.1932983398,-83.3593978882,Canada,North America,YZS,CYZS,210,0.3333333333333333,11.0
41,42,Dawson City Airport,64.04309844970703,-139.12800598144528,Canada,North America,YDA,CYDA,1215,,
42,43,Burwash Airport,61.37110137939453,-139.04100036621094,Canada,North America,YDB,CYDB,2647,,
43,44,Princeton Airport,49.468101501499994,-120.51100158700001,Canada,North America,YDC,CYDC,2298,,
44,45,Deer Lake Airport,49.21080017089844,-57.39139938354492,Canada,North America,YDF,CYDF,72,0.6,15.0
45,46,Dease Lake Airport,58.4221992493,-130.031997681,Canada,North America,YDL,CYDL,2600,,
46,47,Dauphin Barker Airport,51.10079956054688,-100.052001953125,Canada,North America,YDN,CYDN,999,,
47,48,Dawson Creek Airport,55.7422981262207,-120.18299865722656,Canada,North America,YDQ,CYDQ,2148,0.0,4.0
48,49,Edmonton International Airport,53.309700012200004,-113.580001831,Canada,North America,YEG,CYEG,2373,0.3186344238975818,139.0
49,50,Arviat Airport,61.0942001343,-94.0708007812,Canada,North America,YEK,CYEK,32,0.6666666666666666,14.0
